department_id,department_name,sup_km2,total_pobl
16,Almirante Brown,129,584827
17,Avellaneda,56,367554
18,Berazategui,220,358712
19,Berisso,145,100930
20,Brandsen,1114,32448
21,Campana,986,110566
22,Cañuelas,1186,70684
23,Ensenada,114,63997
24,Escobar,301,256268
25,Esteban Echeverría,121,338480
26,Exaltación de la Cruz,637,40159
27,Ezeiza,238,201511
28,Florencio Varela,190,496433
29,General Las Heras,751,18022
30,General Rodríguez,367,142709
31,General San Martín,57,450518
32,Hurlingham,36,185641
33,Ituzaingó,38,180232
34,José C. Paz,50,326992
35,La Matanza,327,1841247
36,Lanús,50,461267
37,La Plata,893,768547
38,Lomas de Zamora,89,690480
39,Luján,771,111251
40,Marcos Paz,422,67011
41,Malvinas Argentinas,63,350674
42,Moreno,186,576632
43,Merlo,174,582486
44,Morón,55,331183
45,Pilar,385,394754
46,Presidente Perón,122,102106
47,Quilmes,92,633391
48,San Fernando,993,171616
49,San Isidro,52,297282
50,San Miguel,83,328835
51,San Vicente,661,98215
52,Tigre,394,446949
53,Tres de Febrero,45,364176
54,Vicente López,35,282280
55,Zárate,1185,132221
